HGNC,Ensembl_ID,GSM5584042,GSM5584043,GSM5584044,GSM5584045,GSM5584046,GSM5584047,GSM5584048,GSM5584049,GSM5584050,GSM5584051,GSM5584052
TTTY18,ENSG00000233699,0,0,0,0,0,0,0,0,0,0,0
PRR23C,ENSG00000233701,0,0,0,0,0,0,0,0,0,0,0
AC107083.1,ENSG00000233702,0,0,0,0,0,0,0,0,0,0,0
AC027673.1,ENSG00000233703,0,0,0,0,0,0,0,0,0,0,0
SLC26A4-AS1,ENSG00000233705,121,0,0,2,0,0,0,0,0,0,0
AL353689.2,ENSG00000233706,0,0,0,0,0,0,0,0,0,0,0
RPL22P11,ENSG00000233707,0,0,0,0,0,0,0,0,0,0,0
AL512353.2,ENSG00000233708,0,0,0,0,0,0,0,0,0,0,0
MTND4P28,ENSG00000233709,0,0,0,0,0,0,0,0,0,0,0
AL049564.1,ENSG00000233710,0,0,0,0,0,0,0,0,0,0,0
EIF4EBP2P1,ENSG00000233711,0,0,0,0,0,0,0,0,0,0,0
AL135929.1,ENSG00000233712,0,0,0,0,0,0,0,0,0,0,0
AL161447.1,ENSG00000233713,0,0,0,0,0,0,0,0,0,0,0
AC012506.3,ENSG00000233714,0,0,0,0,0,0,0,0,0,0,0
AC074367.1,ENSG00000233716,0,0,0,0,0,0,0,0,0,0,76
RPS29P29,ENSG00000233717,0,0,0,0,0,0,0,0,0,0,0
MYCNOS,ENSG00000233718,0,0,0,0,0,0,0,0,0,0,0
GOT2P3,ENSG00000233719,10,14,0,6,0,0,28,3,0,5,12
AC245517.3,ENSG00000233720,0,0,0,0,0,0,0,0,0,0,0
AL356309.2,ENSG00000233721,0,0,0,0,0,0,0,0,0,0,0
LINC01122,ENSG00000233723,0,0,0,0,0,0,0,0,0,0,0
AL513321.1,ENSG00000233724,0,0,0,0,0,0,0,0,0,0,0
LINC00284,ENSG00000233725,0,0,0,2,0,0,0,0,0,0,0
AL162389.1,ENSG00000233727,0,0,0,0,0,0,0,0,0,0,0
AL929472.3,ENSG00000233728,0,0,0,0,0,0,0,0,0,0,0
AC016909.2,ENSG00000233729,0,0,0,0,0,0,0,0,0,0,0
LINC01765,ENSG00000233730,0,0,0,0,0,0,0,0,0,0,0
IGHV3OR16-10,ENSG00000233732,0,0,0,0,0,0,0,0,0,0,0
H2AFZP6,ENSG00000233733,0,0,0,0,0,0,0,0,0,0,0
AL359918.2,ENSG00000233735,0,0,0,0,0,0,0,0,0,0,0
AP003072.1,ENSG00000233737,0,0,0,0,0,0,0,0,0,0,0
AL031587.2,ENSG00000233739,0,0,0,0,0,0,0,0,0,0,0
CICP2,ENSG00000233740,0,0,0,0,0,0,0,0,0,0,0
AC016691.1,ENSG00000233741,0,0,0,0,0,0,0,0,0,0,0
LINC00656,ENSG00000233746,0,0,0,0,0,0,0,0,0,0,0
RPL36AP13,ENSG00000233747,4,1,2,1,5,0,2,0,0,0,0
CICP27,ENSG00000233750,0,0,0,0,0,0,0,0,0,0,8
AC104772.2,ENSG00000233751,0,0,0,0,0,0,0,0,0,0,0
AC009414.1,ENSG00000233752,0,0,2,0,1,0,1,0,1,0,2
AP001628.2,ENSG00000233754,0,0,0,0,0,0,0,0,0,0,0
AL050344.1,ENSG00000233755,0,0,0,0,0,0,0,0,0,0,0
DSCAM-IT1,ENSG00000233756,0,0,0,0,0,0,0,0,0,0,0
AC092835.1,ENSG00000233757,0,0,0,0,0,0,0,0,0,4,0
AC004947.1,ENSG00000233760,0,0,0,0,0,0,0,0,0,0,0
AC007969.1,ENSG00000233762,25,24,22,47,45,48,28,29,32,47,29
MTCO1P20,ENSG00000233764,0,0,0,0,0,0,0,0,0,0,0
AL591479.1,ENSG00000233765,0,0,0,0,0,0,0,0,0,0,0
AC098617.1,ENSG00000233766,0,0,0,0,0,0,0,0,0,0,0
PSMA6P3,ENSG00000233767,0,0,0,0,0,0,0,0,0,0,0
CICP5,ENSG00000233771,0,0,0,0,0,0,0,0,0,0,0
MED14P1,ENSG00000233774,0,0,0,0,0,0,0,0,0,0,0
AL109945.1,ENSG00000233775,0,0,0,0,0,0,0,0,0,0,0
LINC01251,ENSG00000233776,0,0,0,0,0,0,0,0,0,4,0
AC104339.1,ENSG00000233778,0,0,0,2,0,1,0,0,0,0,1
HNRNPA1P30,ENSG00000233780,0,0,0,0,0,0,0,0,0,0,0
ZNF90P3,ENSG00000233782,0,0,0,0,0,0,0,0,0,0,0
AP001442.1,ENSG00000233783,0,0,1,554,1,0,138,167,0,0,116
AC131011.1,ENSG00000233785,0,0,0,0,0,0,0,0,0,1,0
CDC27P1,ENSG00000233786,0,0,0,0,0,0,0,0,0,0,0
AC010374.1,ENSG00000233787,0,0,0,0,0,0,0,0,0,0,0
LINC01136,ENSG00000233791,162,0,0,0,31,0,0,0,0,379,0
PUDPP2,ENSG00000233792,0,0,0,0,0,0,0,0,0,0,0
UFL1-AS1,ENSG00000233797,0,0,0,0,0,0,0,0,0,0,0
AC139887.1,ENSG00000233799,0,0,0,0,0,65,0,20,0,0,0
TRIM49D2,ENSG00000233802,0,0,0,0,0,0,0,0,0,0,0
TSPY4,ENSG00000233803,0,0,0,0,0,0,0,0,0,0,0
AL365496.1,ENSG00000233805,0,0,0,0,0,0,0,0,0,0,0
LINC01237,ENSG00000233806,0,0,0,62,0,0,2,0,0,0,0
AC097262.1,ENSG00000233807,0,0,0,0,0,0,0,0,0,0,0
MOB1AP2,ENSG00000233810,0,0,0,0,0,0,0,0,0,0,0
AL590664.1,ENSG00000233814,0,0,0,0,0,0,0,0,0,0,0
IFNA13,ENSG00000233816,0,0,0,0,0,0,0,0,0,0,0
AL162727.1,ENSG00000233817,0,0,0,0,0,0,0,0,0,0,0
AP000695.2,ENSG00000233818,0,0,0,0,0,0,0,0,0,0,0
AL353779.2,ENSG00000233819,0,0,0,0,1,0,0,0,0,0,0
AL589843.2,ENSG00000233820,5,0,0,0,0,0,0,0,0,0,0
ENOX1-AS1,ENSG00000233821,0,0,0,0,0,0,0,0,0,0,0
HIST1H2BN,ENSG00000233822,0,0,0,0,0,0,0,0,0,0,0
AL356311.1,ENSG00000233823,0,0,0,0,0,0,0,0,0,0,0
AC003985.1,ENSG00000233824,0,0,0,0,0,0,0,0,0,0,0
AL391839.2,ENSG00000233825,0,0,0,0,0,0,0,0,0,0,0
CCNQP1,ENSG00000233827,0,0,0,0,0,0,0,0,0,0,0
LINC01949,ENSG00000233828,0,0,85,0,0,0,19,0,0,1,0
AC017078.1,ENSG00000233829,0,0,0,0,0,0,0,0,0,0,0
EIF4HP1,ENSG00000233830,6,18,5,10,11,21,22,5,9,26,8
AL590623.1,ENSG00000233832,0,0,0,0,0,0,0,0,0,0,0
ETF1P3,ENSG00000233833,0,0,0,0,1,0,0,0,0,0,0
AC005083.1,ENSG00000233834,3,259,165,0,341,0,284,50,0,992,0
AL132875.2,ENSG00000233835,0,0,0,0,0,0,0,0,0,0,0
AC139769.1,ENSG00000233836,438,0,71,54,0,1,874,275,15,138,161
EIF3LP2,ENSG00000233837,1,2,3,0,0,0,2,0,0,6,0
DPH3P1,ENSG00000233838,0,0,0,0,0,0,0,0,0,0,0
AL357055.1,ENSG00000233839,0,0,1,2,4,3,1,0,2,0,0
PCDH9-AS4,ENSG00000233840,0,0,0,0,0,0,0,0,0,0,0
AC062031.1,ENSG00000233842,0,0,0,0,0,0,0,0,0,0,0
CYCSP48,ENSG00000233843,0,0,0,0,0,0,0,0,0,0,0
KCNQ5-IT1,ENSG00000233844,0,0,0,0,0,0,32,0,0,0,0
AC093732.1,ENSG00000233845,0,0,0,136,0,0,0,0,0,158,0
SELENOTP1,ENSG00000233846,3,11,6,8,8,6,7,1,0,11,6
AC022445.1,ENSG00000233847,0,0,0,0,0,0,0,0,0,0,0
AL513188.1,ENSG00000233848,0,80,0,0,0,0,0,0,0,0,0
AC022201.2,ENSG00000233849,0,0,0,0,0,0,0,0,0,0,0
AC103563.7,ENSG00000233850,0,0,0,0,0,0,0,0,0,0,0
LATS2-AS1,ENSG00000233851,0,0,0,0,0,0,0,0,0,0,0
AC005304.1,ENSG00000233852,0,0,0,0,0,0,0,0,0,0,0
POU6F2-AS2,ENSG00000233854,0,0,0,0,0,0,0,0,0,0,0
AC026904.1,ENSG00000233858,0,0,0,0,0,0,1,0,0,0,0
ADH5P4,ENSG00000233859,0,6,3,3,4,4,7,2,5,22,5
AC107072.2,ENSG00000233860,0,0,0,0,0,0,0,0,0,0,0
MGAT2P1,ENSG00000233861,0,0,0,0,0,0,0,0,0,0,0
AC016907.2,ENSG00000233862,0,0,0,0,0,0,0,0,0,0,1
TTTY15,ENSG00000233864,1,2,1,110,0,0,281,1,0,898,118
AC145543.1,ENSG00000233866,0,0,0,0,0,0,0,0,0,0,0
SLC9B1P3,ENSG00000233867,0,0,0,0,0,0,0,0,0,0,0
AC009302.1,ENSG00000233868,0,0,0,0,0,0,0,0,0,1,0
RPSAP27,ENSG00000233869,0,0,0,0,0,0,0,0,0,0,0
AC007881.1,ENSG00000233870,0,0,0,0,0,0,1,0,0,0,0
DLG5-AS1,ENSG00000233871,0,0,57,0,0,153,1,0,0,0,0
AC005033.1,ENSG00000233872,0,0,0,0,0,0,0,0,0,0,0
RPL7P44,ENSG00000233873,3,0,3,2,1,0,11,0,3,3,2
AL118496.1,ENSG00000233874,0,0,0,0,0,0,0,0,0,0,0
AL592078.1,ENSG00000233875,0,0,0,0,0,0,0,0,0,0,0
GAPDHP68,ENSG00000233876,1,1,2,0,0,2,1,0,1,1,1
AL606517.1,ENSG00000233877,0,0,0,0,0,0,0,0,0,0,0
AC073133.2,ENSG00000233878,0,0,0,0,0,0,0,0,1,0,0
AL161722.2,ENSG00000233880,0,0,0,0,0,0,0,0,0,0,0
LINC01680,ENSG00000233882,0,0,0,0,0,0,0,0,0,0,0
AL772337.2,ENSG00000233884,0,0,0,0,0,0,0,0,0,0,0
YEATS2-AS1,ENSG00000233885,0,0,0,0,0,0,0,0,0,0,0
AL354685.1,ENSG00000233887,0,0,0,0,0,0,0,0,0,0,0
MTCO2P17,ENSG00000233888,0,0,0,0,0,0,0,0,0,0,0
AC007179.2,ENSG00000233891,0,0,0,0,0,0,0,0,0,13,0
PAIP1P1,ENSG00000233892,0,0,0,0,0,0,3,0,0,0,0
EZR-AS1,ENSG00000233893,0,0,0,0,0,0,0,0,0,8,0
AC105271.1,ENSG00000233894,0,0,0,0,0,0,0,0,0,0,0
AL121761.1,ENSG00000233895,0,0,0,0,0,0,0,0,0,0,0
PDYN-AS1,ENSG00000233896,0,0,0,0,0,0,0,0,0,0,0
RPL17P35,ENSG00000233900,0,0,0,0,0,0,0,0,0,0,0
LINC01503,ENSG00000233901,210,1,2020,70,2,980,639,560,761,1283,827
AL645933.1,ENSG00000233902,0,0,0,0,0,0,0,0,0,5,0
Z83851.1,ENSG00000233903,0,12,0,0,1,470,346,0,0,0,107
LONRF2P2,ENSG00000233905,0,0,0,0,0,0,0,0,0,0,0
AL445623.1,ENSG00000233906,0,0,0,0,0,0,0,0,0,0,0
LINC01761,ENSG00000233907,1,0,0,0,0,0,0,0,0,0,0
AL359711.1,ENSG00000233908,0,1,0,0,0,0,0,0,0,0,1
UBE2V1P4,ENSG00000233909,0,0,0,0,0,0,0,0,0,0,0
GTF2F2P2,ENSG00000233910,0,0,0,0,0,0,0,0,0,0,0
AC026202.2,ENSG00000233912,0,0,0,0,96,0,0,0,0,0,0
RPL10P9,ENSG00000233913,66,34,99,37,82,62,52,23,36,56,37
UBE2Q2P10,ENSG00000233915,0,0,0,0,0,0,0,0,0,0,0
ZDHHC20P1,ENSG00000233916,0,0,0,0,0,0,0,0,0,0,0
POTEB,ENSG00000233917,0,0,0,0,0,0,0,0,0,0,0
AC128676.1,ENSG00000233918,0,0,0,0,0,0,0,0,0,0,0
AC009743.1,ENSG00000233919,0,0,0,0,0,0,0,0,0,0,0
AL162595.2,ENSG00000233920,0,0,0,0,0,0,0,0,0,0,0
RPS15AP40,ENSG00000233921,0,0,0,0,1,1,0,0,0,0,0
LINC01694,ENSG00000233922,0,0,0,0,0,0,0,0,0,1,0
RPSAP13,ENSG00000233924,0,0,0,0,0,0,0,0,1,0,0
AL591368.1,ENSG00000233926,0,0,0,0,97,0,0,0,0,0,0
RPS28,ENSG00000233927,163,12,151,457,496,1003,584,371,419,501,105
AL591501.1,ENSG00000233928,0,0,0,0,0,0,0,0,0,0,0
MT1XP1,ENSG00000233929,29,41,25,40,238,50,43,14,68,35,27
KRTAP5-AS1,ENSG00000233930,0,0,0,0,0,0,0,0,0,0,0
CTXN2,ENSG00000233932,0,0,0,0,0,0,0,0,0,0,0
AL135924.1,ENSG00000233933,0,0,0,0,0,0,0,0,0,0,0
RPL21P38,ENSG00000233934,0,0,0,0,0,0,0,0,0,0,0
AL390778.2,ENSG00000233936,0,0,0,0,0,0,0,0,0,0,0
AC008443.1,ENSG00000233937,0,0,0,207,40,0,76,0,0,48,0
AC114755.4,ENSG00000233939,0,0,0,0,0,0,0,0,0,0,0
RPL12P45,ENSG00000233940,0,0,0,0,0,0,0,0,0,0,0
AL356859.1,ENSG00000233941,0,0,0,0,0,0,0,0,0,0,0
AC004012.1,ENSG00000233942,0,0,0,0,0,0,0,81,0,0,0
AC114973.1,ENSG00000233943,0,0,0,0,0,0,0,0,0,0,0
LINC00265-3P,ENSG00000233944,0,0,0,0,0,0,0,0,0,0,0
AC069540.2,ENSG00000233945,0,0,0,0,0,0,0,0,0,0,0
RPS29P4,ENSG00000233946,0,0,0,0,0,0,0,0,0,0,0
AL353705.3,ENSG00000233947,0,0,0,0,0,0,0,0,0,0,0
RCC2P3,ENSG00000233951,0,0,0,0,0,0,0,0,0,0,0
FTLP15,ENSG00000233952,0,0,0,0,0,2,1,0,1,0,0
AC009970.1,ENSG00000233953,0,0,0,0,0,0,0,0,0,0,0
UQCRHL,ENSG00000233954,10,6,3,7,10,32,14,4,39,16,10
AHCYP3,ENSG00000233955,0,0,0,0,0,0,0,0,0,407,0
BTF3P6,ENSG00000233956,0,0,0,1,0,0,0,0,0,0,0
AC079763.1,ENSG00000233960,0,0,0,0,0,0,0,0,0,0,0
AC064862.2,ENSG00000233962,0,0,0,0,0,0,0,0,1,0,0
ATP8A2P3,ENSG00000233963,0,0,0,0,0,0,0,0,0,0,0
UBE2SP1,ENSG00000233966,0,0,0,0,0,0,0,0,0,0,0
AL359715.1,ENSG00000233967,0,147,0,0,0,0,0,0,0,6,0
AL157895.1,ENSG00000233968,0,0,0,0,0,0,0,213,1,47,0
AC004946.1,ENSG00000233969,0,0,0,0,0,0,0,0,0,0,0
AC092159.3,ENSG00000233970,0,0,0,0,0,0,0,0,0,0,0
RPS20P10,ENSG00000233971,0,66,1,0,3,4,1,1,1,2,1
LINC01360,ENSG00000233973,0,0,0,0,0,0,0,0,0,0,0
AC138951.1,ENSG00000233974,4,0,0,0,5,0,22,0,0,64,0
LINC02574,ENSG00000233975,0,0,0,1,0,0,0,0,0,0,0
AC099681.3,ENSG00000233977,0,0,0,0,0,0,0,0,0,0,0
LINC02590,ENSG00000233978,0,1,0,0,0,0,0,0,0,0,0
RPL22P21,ENSG00000233979,0,0,0,0,0,0,0,0,0,0,0
FDPSP2,ENSG00000233980,0,0,0,0,0,0,0,0,0,0,0
AL022396.1,ENSG00000233981,0,0,0,0,0,0,0,0,0,0,0
AL365220.1,ENSG00000233983,0,0,0,0,0,0,0,0,0,0,0
RPSAP14,ENSG00000233984,0,0,0,0,0,0,0,0,0,0,0
LINC01681,ENSG00000233985,1,0,0,0,3,0,10,0,1,0,0
AC106706.1,ENSG00000233987,0,0,0,0,0,0,0,0,0,0,0
AL353754.1,ENSG00000233990,0,1,129,0,0,0,1,1,0,1,0
AL121900.1,ENSG00000233993,0,0,0,0,0,0,0,0,0,1,0
GDI2P2,ENSG00000233994,0,0,0,13,1,0,2,0,1,4,0
AP000547.1,ENSG00000233995,0,0,0,0,0,0,15,0,0,0,0
AC013439.1,ENSG00000233996,0,0,0,0,2,0,0,0,0,0,0
LINC01425,ENSG00000233997,0,0,0,0,0,0,0,0,0,0,0
SETP5,ENSG00000233998,0,0,0,0,0,0,0,0,0,0,0
IGKV3OR2-268,ENSG00000233999,0,0,0,0,0,35,0,0,0,0,0
AC000111.1,ENSG00000234001,0,0,0,0,0,0,0,0,0,0,0
MTATP6P27,ENSG00000234003,0,0,0,0,0,0,0,0,0,0,0
AC092017.2,ENSG00000234004,0,0,0,0,2,1,0,0,1,0,0
GAPDHP22,ENSG00000234005,0,0,0,0,0,0,0,0,0,0,0
DDX39B-AS1,ENSG00000234006,0,0,0,0,0,0,2,0,0,2,28
PPP1R2P2,ENSG00000234008,0,0,0,0,0,0,0,1,0,0,0
RPL5P34,ENSG00000234009,4,4,1,11,4,2,5,0,5,4,2
LINC02530,ENSG00000234015,0,0,0,0,0,0,0,0,0,0,0
GNG10P1,ENSG00000234016,0,0,0,0,0,0,0,0,0,0,0
AC022018.1,ENSG00000234017,1,0,0,2,1,0,1,0,0,8,0
AL591212.1,ENSG00000234019,0,0,0,0,0,0,0,0,0,0,0
CHIAP3,ENSG00000234020,0,0,0,0,0,0,1,0,0,0,0
AL596451.1,ENSG00000234021,0,0,0,0,0,0,0,0,0,0,0
AC008278.2,ENSG00000234022,0,0,0,0,0,0,0,0,0,0,0
RBPMS2P1,ENSG00000234025,0,0,0,0,0,0,0,0,0,0,0
AL157834.2,ENSG00000234026,0,0,19,0,0,0,0,0,0,0,0
AC062029.1,ENSG00000234028,0,0,0,0,0,0,0,0,0,0,0
TMEM97P1,ENSG00000234030,0,0,0,0,0,0,0,0,0,0,0
RPS3AP44,ENSG00000234031,0,0,0,0,0,1,29,0,0,0,0
RAC1P8,ENSG00000234033,0,0,0,0,0,0,0,0,0,0,0
AP000959.1,ENSG00000234034,0,0,0,0,0,0,0,0,0,0,0
TXNP6,ENSG00000234036,0,3,1,0,24,4,1,2,3,3,2
NDUFA5P7,ENSG00000234039,0,0,0,0,0,0,0,0,0,0,0
RPL10P12,ENSG00000234040,2,0,2,1,1,420,149,6,250,0,59
AL512326.3,ENSG00000234041,0,0,0,0,0,0,0,0,0,0,0
AL591438.2,ENSG00000234042,0,0,0,0,0,0,1,5,0,0,0
NUDT9P1,ENSG00000234043,0,0,0,0,0,0,0,0,0,0,0
AC108059.3,ENSG00000234044,0,0,0,0,0,232,0,4,0,0,0
FAM96AP1,ENSG00000234048,0,0,0,0,0,0,0,0,0,0,168
Z95624.1,ENSG00000234050,0,0,0,0,0,0,0,0,0,0,0
LINC01673,ENSG00000234052,0,0,0,0,0,0,0,0,0,0,0
AL158151.2,ENSG00000234055,0,0,0,0,0,0,0,0,0,0,0
LINC00463,ENSG00000234056,0,0,0,0,0,0,0,0,0,0,0
CASKP1,ENSG00000234059,0,0,0,0,0,0,0,0,0,0,0
EDDM3CP,ENSG00000234060,0,0,0,0,0,0,0,0,0,0,0
AC007969.2,ENSG00000234061,0,0,0,1,0,0,0,0,0,0,0
AL390879.1,ENSG00000234062,37,6,1,0,0,1,18,0,75,226,0
PRAMEF29P,ENSG00000234064,0,0,0,0,0,0,0,0,0,0,0
MTND4P26,ENSG00000234065,0,0,0,0,0,0,0,0,0,0,0
TAS2R62P,ENSG00000234066,0,0,0,0,0,0,0,0,0,0,0
RPL5P10,ENSG00000234067,0,0,0,0,0,0,0,0,0,0,0
PAGE2,ENSG00000234068,0,0,0,0,0,0,0,0,0,0,0
GAPDHP53,ENSG00000234069,0,0,0,0,0,0,0,0,0,0,0
SPATA17-AS1,ENSG00000234070,0,0,0,0,0,0,0,0,0,0,0
AC010099.3,ENSG00000234071,0,0,0,0,0,0,0,0,0,0,0
AC074117.1,ENSG00000234072,0,0,0,0,0,0,0,0,0,0,50
AC011816.1,ENSG00000234073,0,0,0,0,0,0,0,0,0,0,0
RPL35AP,ENSG00000234075,0,0,0,0,0,0,0,0,0,0,0
TPRG1-AS1,ENSG00000234076,0,0,145,0,0,0,212,0,0,138,1
AL596275.1,ENSG00000234080,2,2,0,4,4,3,1,3,6,0,2
ELOCP10,ENSG00000234081,0,0,0,0,0,0,0,0,0,0,0
AJ006995.1,ENSG00000234083,0,1,0,0,0,0,52,0,0,0,0
AL049552.1,ENSG00000234084,2,9,0,0,0,0,163,0,0,1,2
AC064862.3,ENSG00000234085,0,0,0,0,0,0,0,0,0,0,0
AL356299.1,ENSG00000234087,0,0,0,0,0,0,0,0,0,0,0
RPS15AP7,ENSG00000234088,0,0,0,0,0,0,0,0,0,0,0
AC099654.1,ENSG00000234089,0,0,0,0,0,0,0,0,0,0,0
AL157392.2,ENSG00000234091,0,0,0,0,0,0,0,0,0,0,0
RPS15AP11,ENSG00000234093,1,0,0,2,0,0,0,0,1,0,0
MTND4P11,ENSG00000234099,0,0,0,0,0,0,0,0,0,0,0
KRT19P4,ENSG00000234102,0,0,0,0,0,0,0,0,0,0,0
AL133465.1,ENSG00000234104,0,0,0,0,0,0,0,0,0,0,0
AC009468.2,ENSG00000234105,0,0,0,0,0,0,0,0,0,0,0
SRP14P2,ENSG00000234106,0,2,4,12,2,8,3,5,4,5,3
TPT1P1,ENSG00000234107,1,0,0,0,1,1,0,0,0,0,0
AL596276.2,ENSG00000234108,0,1,0,0,2,0,0,0,0,1,0
RPL7P36,ENSG00000234109,0,1,2,1,0,1,40,0,1,0,1
TSPY25P,ENSG00000234110,0,0,0,0,0,0,0,0,0,0,0
LINC02433,ENSG00000234111,0,0,0,0,0,0,0,0,0,0,0
AC099066.3,ENSG00000234112,0,0,0,0,0,0,3,0,0,0,0
AL138878.2,ENSG00000234115,0,0,0,0,0,1,1,1,0,0,1
AL606534.3,ENSG00000234116,0,0,0,0,0,0,0,0,0,0,0
AL445224.1,ENSG00000234117,0,0,0,0,0,0,0,0,0,0,0
RPL13AP6,ENSG00000234118,0,1,1,2,1,0,3,6,1,0,0
AC079248.1,ENSG00000234119,0,0,0,0,0,0,0,0,0,0,0
AF228730.2,ENSG00000234120,0,0,0,0,0,0,0,0,0,0,0
GPM6BP3,ENSG00000234121,0,0,0,0,0,0,0,0,0,0,0
TRBV22OR9-2,ENSG00000234122,0,0,0,0,0,0,0,0,0,0,0
RHBDF1P1,ENSG00000234123,0,0,0,0,0,0,0,0,0,0,0
CSN1S2AP,ENSG00000234124,0,0,0,0,0,0,0,0,0,0,0
EEF1GP8,ENSG00000234125,0,0,0,0,1,1,0,0,0,0,0
TRIM26,ENSG00000234127,1215,1613,1744,785,9,2529,3083,1035,32,2595,1549
AC073529.1,ENSG00000234129,0,0,0,0,0,0,0,0,0,0,0
AL359263.1,ENSG00000234130,0,0,0,1,0,0,0,0,0,0,4
ELOCP8,ENSG00000234131,0,0,0,0,0,0,0,0,0,0,0
AL358473.2,ENSG00000234132,0,0,0,0,0,0,0,0,0,0,0
AL158835.3,ENSG00000234134,0,0,0,0,0,0,0,0,0,0,0
RPL23AP83,ENSG00000234135,0,1,1,0,0,0,0,0,0,0,0
AC055764.1,ENSG00000234136,0,0,0,0,0,0,0,54,0,0,0
AL035420.1,ENSG00000234139,0,0,0,0,0,0,0,0,0,0,0
AC006042.4,ENSG00000234141,0,0,0,0,0,0,0,0,0,0,0
LINC01675,ENSG00000234142,69,0,0,0,0,0,0,0,0,0,0
UGT1A13P,ENSG00000234143,0,0,0,0,0,0,0,0,0,0,0
COX6CP13,ENSG00000234144,0,0,0,0,0,0,0,0,0,0,0
NAP1L4P3,ENSG00000234145,1,0,0,0,1,0,1,0,0,0,0
AKAP8P1,ENSG00000234146,0,0,0,0,0,0,0,0,0,0,0
AL035446.1,ENSG00000234147,0,0,0,0,0,0,0,12,0,0,0
LINC01961,ENSG00000234148,0,0,0,0,0,0,0,0,0,0,0
AC018511.2,ENSG00000234149,0,0,0,0,0,0,19,0,0,61,0
ELOBP1,ENSG00000234152,0,0,0,0,0,0,0,0,0,2,0
LINC02535,ENSG00000234155,0,0,0,0,0,0,0,0,0,0,0
AL162254.1,ENSG00000234156,0,0,0,0,0,0,69,0,0,0,0
RPEP2,ENSG00000234158,0,0,0,0,0,0,0,0,0,0,0
RBPMSLP,ENSG00000234159,0,0,0,0,0,0,0,0,0,0,0
AL513165.1,ENSG00000234160,0,0,1,1,1,396,0,99,0,3,128
PABPC5-AS1,ENSG00000234161,0,0,0,0,0,0,0,0,0,0,0
AC009505.1,ENSG00000234162,0,0,0,0,0,0,0,0,0,0,0
MTND4LP11,ENSG00000234163,0,0,0,0,0,0,0,0,0,0,0
AC114877.1,ENSG00000234165,0,0,0,0,0,0,0,0,0,0,0
ARHGEF19-AS1,ENSG00000234166,0,0,0,0,0,0,0,0,0,0,0
ELOBP4,ENSG00000234167,0,0,0,0,0,0,0,0,0,146,0
LINC01039,ENSG00000234168,0,0,0,0,0,0,0,0,0,0,0
LINC01868,ENSG00000234169,0,0,0,0,0,0,0,0,0,0,0
AC024908.1,ENSG00000234170,0,0,21,0,0,0,57,0,0,0,0
RNASEH1-AS1,ENSG00000234171,181,102,31,0,1,36,64,5,0,373,93
AC093639.1,ENSG00000234172,0,0,0,0,2,0,44,0,0,90,0
AL353784.1,ENSG00000234173,0,0,112,0,1,0,0,0,0,0,0
AC016683.1,ENSG00000234174,0,0,0,0,0,0,0,0,0,0,0
AL355355.2,ENSG00000234175,0,0,0,0,0,0,0,0,0,0,0
HSPA8P1,ENSG00000234176,15,3,0,8,24,24,36,11,30,5,6
LINC01114,ENSG00000234177,0,0,0,0,0,0,0,0,0,0,0
DEFA11P,ENSG00000234178,0,0,0,0,0,0,0,0,0,0,0
MTCYBP1,ENSG00000234179,0,0,0,0,0,0,0,0,0,0,0
AL353795.2,ENSG00000234181,0,0,0,0,0,0,0,0,0,0,0
AL731533.1,ENSG00000234182,0,0,0,0,0,0,0,0,0,0,0
LINC01952,ENSG00000234183,0,0,0,0,0,0,0,0,0,0,0
LINC01781,ENSG00000234184,0,0,0,1,0,0,0,0,0,1,0
AC068533.3,ENSG00000234185,0,0,0,0,0,0,0,0,0,0,0
C16orf82,ENSG00000234186,0,0,0,0,0,0,0,0,0,0,0
AIMP1P1,ENSG00000234187,0,0,0,0,1,0,0,0,0,0,0
AC099799.1,ENSG00000234189,0,0,0,0,0,0,0,0,0,0,0
AC241644.2,ENSG00000234190,0,0,0,0,0,0,0,0,0,0,0
AC091808.1,ENSG00000234191,0,0,0,0,0,0,0,0,0,0,0
RPS26P38,ENSG00000234192,0,0,0,0,0,0,0,0,0,1,0
AC013476.1,ENSG00000234193,0,0,0,0,0,0,0,0,0,0,0
ETV5-AS1,ENSG00000234197,0,0,0,0,0,0,0,0,0,0,0
LINC01191,ENSG00000234199,0,38,0,0,0,0,0,0,0,0,0
AC243591.1,ENSG00000234200,0,0,0,0,0,0,0,0,0,0,0
BMI1P1,ENSG00000234201,0,0,0,0,0,0,0,0,0,0,0
AC104332.2,ENSG00000234202,0,0,0,0,0,0,0,0,0,0,0
AC004771.2,ENSG00000234203,0,0,0,0,0,0,0,0,0,0,0
PIGPP2,ENSG00000234204,0,0,0,0,0,0,0,0,0,0,0
AL121957.1,ENSG00000234206,0,0,0,0,0,0,0,0,0,0,0
AC096570.1,ENSG00000234207,0,0,0,0,0,0,0,0,0,0,0
AC005529.1,ENSG00000234208,0,0,0,0,0,0,56,0,0,0,0
AC006372.3,ENSG00000234210,0,0,0,0,0,0,0,0,0,0,0
AL451067.1,ENSG00000234211,0,0,0,0,0,0,0,0,0,0,0
FHP1,ENSG00000234213,1,8,0,0,0,0,12,0,0,0,0
AC006012.1,ENSG00000234215,0,0,0,0,0,0,0,0,0,0,0
RBPJP7,ENSG00000234217,0,0,0,0,0,0,0,0,0,0,0
CDCA4P4,ENSG00000234219,0,0,0,0,0,0,0,0,0,0,0
